Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0001,18.602390,15.320238,5443.88
2,0.0001,8.050790,6.064705,5446.06
3,0.0001,6.149533,4.956685,5446.06
4,0.0001,5.359953,4.086016,5452.16
5,0.0001,4.864121,4.753595,5452.16
6,0.0001,4.608761,5.606452,5452.16
7,0.0001,4.282279,4.480381,5452.16
8,0.0001,4.169283,3.931788,5458.82
9,0.0001,4.154605,4.199852,5458.82
10,0.0001,4.089409,5.651507,5458.82
11,0.0001,4.251059,3.951205,5458.82
12,0.0001,4.031004,5.377010,5458.82
13,0.0001,3.901179,5.925152,5458.82
14,0.0001,3.898248,5.425940,5458.82
15,0.0001,3.865809,5.742217,5458.82
16,0.0001,3.980737,4.801978,5458.82
17,0.0001,3.836854,3.972159,5458.82
18,9.5e-05,3.782209,4.258489,5458.82
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0001,0.439532,0.479439,5437.00
2,0.0001,0.365603,0.517091,5441.62
3,0.0001,0.341202,0.451501,5441.62
4,0.0001,0.330619,0.433649,5441.62
5,0.0001,0.327072,0.429598,5448.10
6,0.0001,0.318996,0.403944,5448.10
7,0.0001,0.313443,0.394604,5448.10
8,0.0001,0.309009,0.391313,5448.10
9,0.0001,0.305315,0.387069,5448.10
10,0.0001,0.302329,0.385618,5448.10
11,0.0001,0.299476,0.385701,5451.72
12,0.0001,0.297047,0.383733,5451.72
13,0.0001,0.294799,0.378883,5451.72
14,0.0001,0.293027,0.381870,5451.72
15,0.0001,0.292022,0.375487,5451.72
16,0.0001,0.290681,0.379987,5451.72
17,0.0001,0.289607,0.386966,5451.72
18,9.5e-05,0.288110,0.379638,5451.72
19,9.5e-05,0.287278,0.388788,5451.72
20,9.5e-05,0.286041,0.404816,5451.72
21,9.5e-05,0.285908,0.395431,5451.72
22,9.5e-05,0.284267,0.388196,5451.72
23,9.5e-05,0.283708,0.391437,5451.72
24,9.5e-05,0.281840,0.381899,5451.72
25,9.5e-05,0.281565,0.389001,5451.72
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0001,0.835221,0.730286,2044.42
2,0.0001,0.488733,0.595675,2044.42
3,0.0001,0.425818,0.536457,2044.42
4,0.0001,0.388279,0.512630,2044.42
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0001,0.835221,0.730286,2036.28
2,0.0001,0.488733,0.595675,2036.28
3,0.0001,0.425818,0.536457,2036.28
4,0.0001,0.388279,0.512630,2036.28
5,0.0001,0.365159,0.491041,2036.28
6,0.0001,0.351948,0.471253,2036.28
7,0.0001,0.341751,0.448048,2036.28
8,0.0001,0.334475,0.435298,2036.28
9,0.0001,0.329006,0.426703,2036.28
10,0.0001,0.324214,0.419990,2036.28
11,0.0001,0.319933,0.413502,2036.28
12,0.0001,0.316451,0.408330,2036.28
13,0.0001,0.313143,0.403427,2036.28
14,0.0001,0.309912,0.397239,2036.28
15,0.0001,0.307370,0.394582,2036.28
16,0.0001,0.305191,0.392375,2036.28
17,0.0001,0.303426,0.390238,2036.28
18,9.5e-05,0.301862,0.388736,2036.28
19,9.5e-05,0.300198,0.386439,2036.28
20,9.5e-05,0.298561,0.387531,2036.28
21,9.5e-05,0.297600,0.386460,2036.28
22,9.5e-05,0.296259,0.387575,2036.28
23,9.5e-05,0.295021,0.387132,2036.28
24,9.5e-05,0.294188,0.386975,2036.28
25,9.5e-05,0.292930,0.386687,2036.28
26,9.5e-05,0.292063,0.388347,2036.28
27,9.5e-05,0.291356,0.390696,2036.28
28,9.5e-05,0.290568,0.387453,2036.28
29,9.5e-05,0.289722,0.387226,2036.28
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0001,0.835221,0.730286,2033.26
2,0.0001,0.488733,0.595675,2033.26
3,0.0001,0.425818,0.536457,2033.26
4,0.0001,0.388279,0.512630,2033.26
5,0.0001,0.365159,0.491041,2033.26
6,0.0001,0.351948,0.471253,2033.26
7,0.0001,0.341751,0.448048,2033.26
8,0.0001,0.334475,0.435298,2033.26
9,0.0001,0.329006,0.426703,2033.26
10,0.0001,0.324214,0.419990,2033.26
11,0.0001,0.319933,0.413502,2033.26
12,0.0001,0.316451,0.408330,2033.26
13,0.0001,0.313143,0.403427,2033.26
14,0.0001,0.309912,0.397239,2033.26
15,0.0001,0.307370,0.394582,2033.26
16,0.0001,0.305191,0.392375,2033.26
17,0.0001,0.303426,0.390238,2033.26
18,9.5e-05,0.301862,0.388736,2033.26
